Organization,category_list, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
waywire,|Entertainment|Politics|Social Media|News|, News ," 17,50,000 ",acquired,USA,NY,New York City,New York,1,6/1/2012,2012-06,2012-Q2,2012,6/30/2012,6/30/2012,1750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r-ranch-and-mine,|Tourism|Entertainment|Games|, Tourism ,"60,000",operating,USA,TX,Dallas,Fort Worth,2,1/1/2014,2014-01,2014-Q1,2014,8/17/2014,9/26/2014,0,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-800-doctors,|Health and Wellness|, Health and Wellness ," 17,50,000 ",operating,USA,NJ,Newark,Iselin,1,1/1/1984,1984-01,1984-Q1,1984,3/2/2011,3/2/2011,0,0,0,0,1750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-20-media,|E-Commerce|, E-Commerce ," 20,50,000 ",operating,USA,MD,Baltimore,Woodbine,4,1/1/2001,2001-01,2001-Q1,2001,6/18/2009,12/28/2011,0,0,0,0,0,2050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000-corks,|Search|, Search ,"40,000",operating,USA,OR,"Portland, Oregon",Lake Oswego,1,1/1/2008,2008-01,2008-Q1,2008,8/23/2011,8/23/2011,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000memories,|Curated Web|, Curated Web ," 25,35,000 ",acquired,USA,CA,SF Bay Area,San Francisco,2,7/1/2010,2010-07,2010-Q3,2010,1/1/2010,2/16/2011,15000,2520000,0,0,0,0,0,0,0,0,0,0,0,2520000,0,0,0,0,0,0,0
1000museums-com,|Curated Web|, Curated Web ," 49,62,651 ",operating,USA,WA,Seattle,Bellevue,6,1/1/2008,2008-01,2008-Q1,2008,10/14/2009,9/19/2014,0,3814772,0,0,0,1147879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100health,|Health Care Information Technology|, Health Care Information Technology ," 4,20,000 ",operating,USA,WI,Madison,Madison,1,7/4/2014,2014-07,2014-Q3,2014,11/26/2014,11/26/2014,420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100plus,|Analytics|, Analytics ," 12,50,000 ",acquired,USA,CA,SF Bay Area,San Francisco,2,9/16/2011,2011-09,2011-Q3,2011,11/2/2011,11/30/2011,750000,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010data,|Software|, Software ," 3,50,00,000 ",operating,USA,NY,New York City,New York,1,1/1/2000,2000-01,2000-Q1,2000,3/8/2010,3/8/2010,0,35000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10bestthings,|Curated Web|, Curated Web ,"50,000",closed,USA,OH,Cleveland,Cleveland,1,4/1/2009,2009-04,2009-Q2,2009,4/1/2009,4/1/2009,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
