company_name_id,Total funding,company_name,No of Employees,Revenue,city,state,country,zip_code,full_time_employees,company_type,company_category,revenue_source,business_model,social_impact,description,description_short,source_count,data_types,example_uses,data_impacts,financial_info,last_updated,,url,year_founded
3-round-stones-inc,1000000,"3 Round Stones, Inc.",,1,Washington,Washington DC,us,20004,43840,Private,Software,"Data analysis for clients, Database licensing, Subscriptions","Business to Business, Business to Consumer",,"3 Round Stones produces a platform for publishing data on the Web. 3 Round Stones provides commercial support for the Callimachus Data Platform, used by the Fortune 2000 and US Government Agencies publishing and consuming data.  Headquartered in Arlington, Virginia, we're seasoned entrepreneurs who are passionate about solving real world problems through open data and open Web standards.","Our Open Source platform is used by the Fortune2000 and US Government Agencies to collect, publish and reuse data, both public and proprietary.",NA,,,[],"3 Round Stones is a profitable, self-funded, woman-owned start-up.  Our team has several successful serial entrepreneurs.  As entrepreneurs, we've benefited from the valuable guidance by seasoned advisers and mentors in the mid-Atlantic region who have guided our team through multiple start-ups, outside funding and an acquisition by a Fortune 100 company in 2005.",44:26.0,,http://3RoundStones.com,2010
accela,211912062,Accela,251-500,500,San Ramon,California,us,94583,"501-1,000",Private,Biotechnology,Not reported by company,Business to Consumer,"Citizen engagement and participation, Good governance, Public safety","Accela powers thousands of services and millions of transactions for more than 500 public agencies worldwide, enabling governments to connect with citizens and streamline processes related to land management, asset management, licensing, and public health & safety. Accela addresses a broad range of agency, business and citizen needs, and includes built-in payment, scheduling, compliance and information transparency. Together with our partners, Accela can custom-tailor solutions based on precise agency specifications, or deploy packaged solutions based on best practice templates and pre-defined services in a matter of a few weeks.","Accela improves citizen engagement by making it easier to do government business, driving civic innovation and improving transparency, accuracy and accountability.",101+,"Health/Healthcare, Housing, Public Safety",,[],,30:49.2,,http://www.accela.com,1999
adaptive,1200000,Adaptive,,107,Irvine,California,us,92618,18568,Private,Business Analytics,Not reported by company,Business to Business,,"Adaptive offers standards-based solutions that help organizations better align their valuable information by supporting specific management challenges including Data Governance, Data Quality, Metadata Management, Enterprise Architecture Management and IT Portfolio Management.","Adaptive helps organizations leverage what they have by providing a knowledge management asset that facilitates reuse, analytics and compliance throughout the organization.",NA,,,[],,53:46.1,,http://www.adaptive.com,2001
adobe-digital-government,NA,Adobe Digital Government,,,San Jose,California,us,95510,"10,001+",Public,Software,Not reported by company,Business to Government,,"Adobe Digital Government is part of Adobe Systems, a global digital marketing and digital media solutions company. Adobe's tools and services allow customers to create digital content, deploy it across media and devices, measure and optimize it over time. 

<p>Adobe Digital Government delivers solutions that help government agencies make, manage, mobilize, and measure the information and experiences needed to achieve their missions. Adobe Digital Government provides solutions for content creation and management, more secure business workflows, easy-to-develop forms, robust analytics, or intuitive collaboration and eLearning.</p>","Adobe delivers solutions that help government agencies make, manage, mobilize, and measure the information and experiences needed to achieve their missions.",101+,,,[],,54:15.5,,http://www.adobe.com/solutions/government.html,2009
aidin,620000,Aidin,43,8,New York,New York,us,10013,43840,Private,Healthcare and Insurance,Not reported by company,"Business to Business, Business to Consumer",,"Aidin helps hospitals and their patients choose the highest quality post-acute care available to them. By streamlining hospital staff's search process for available post-acute care and tracking and sharing with patients how well providers have performed with similar patients in the past, Aidin helps hospitals reduce length of stay and prevent costly and dangerous readmissions from post-acute care.","Aidin helps hospitals discharge their patients to the best available nursing homes, home health agencies, and other post-acute care providers.",10-Jan,,,[],,01:24.2,,http://www.myAidin.com,2011
allianz,85000000,Allianz,,130600,New York,New York,us,10019,"10,001+",Public,Banking,Not reported by company,Business to Consumer,,"Allianz Life Insurance Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.","Allianz Life Insurance Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.",NA,,,[],,55:21.5,,http://www.allianzusa.com,1896
amida-technology-solutions,1000000,Amida Technology Solutions,48,15,Washington,Washington DC,us,20036,43840,Private,Healthcare and Insurance,Not reported by company,"Business to Business, Business to Consumer",,"Amida develops patient-centered solutions based on the Blue Button personal health record (PHR). The Amida Personal Health Information Exchange solution allows enterprises to offer capabilities that place the patient at the center of their health data. It enables two-way communication between patients and primary care physicians, pharmacies, labs, and specialty care providers. This means that patients, for the first time, will have a coherent view of all their health information.","Amida develops patient-centered solutions based on the Blue Button personal health record (PHR), the most popular PHR in the country.",NA,,,[],,44:41.8,,http://amida-tech.com/index.html,2013
analytica,1200000,Analytica,33,6,Washington DC,Washington DC,us,20005,18568,Private,Software,"Data analysis for clients, Database licensing, Software licensing, Information Brokering","Business to Business, Business to Government",,"<p>Analytica is a leading-edge consulting and IT firm that provides solutions to managing, analyzing, leveraging and protecting information.  The company supports prominent US Public Sector (Federal, State, and Local agencies) and commercial organizations with innovative, value driven solutions supporting national security, law enforcement, health care, and financial services.</p>

<p>Analytica is an SBA certified HUBZone, small business and it has been recognized each of the past three years as a fast growing and “Top 50” small businesses.</p>","Analytica assists public sector organizations to identify, leverage, analyze and manage information.",10-Jan,,,[],"Analytica is a self-funded, private company.  Driven by customer demand in assisting with managing, leveraging, and analyzing public sector information, the company has experienced exponential growth over the past five years and generated over $15.0 MM in revenue in 2013.",23:40.5,,http://www.analytica.net/,2007
appallicious,2600000,Appallicious,1,0.2,San Francisco,California,us,94104,18568,Private,Software,Software licensing,Business to Government,,"Appallicious (http://www.appallicious.com) is an open data visualization company that creates open data products for government agencies using our proprietary platform. Current products include: Disaster Assessment and Assistance Dashboard (DAAD), Code Enforcement Dashboard (CEAD), Apartment Facts, SF Rec & Park App, Neighborhood Score. The civic start-up has also developed the SkippittTM platform, which enables governments and businesses to generate revenue by leveraging your existing customer base and extending it via mobile. Appallicious is based in San Francisco, CA and is a Silicon Valley Innovation Summit A0250 to Watch Winner.",The Appallicious Mobile Commerce Platform is a leading technology for government and business to go mobile.,NA,,,[],"<p>In March 2012, a neighbor of Appallicious co-founder, Yo Yoshida, died tragically after falling through a dilapidated staircase in Yo's apartment. After her death, Yo was inspired to create an application that would provide San Francisco residents with more information about their neighborhoods and the places they live. Neighborhood Score lets you see a score for any block in San Francisco.</p>

<p>Soon Appallicious will be launching Apartment Facts. This service will be a powerful tool for tenants across the country. Apartment Facts will create transparency when it comes to housing safety, accountability, and stopping tragedies like that of Yo's neighbor.</p>",03:44.8,,appallicious.com,2010
aquicore,19500000,Aquicore,88,16,,Washington DC,us,,43840,Private,Energy,,Business to Business,,"Aquicore is an Energy Intelligence Solution, combining software and next-generation metering technology to cost-effectively monitor and analyze real-time energy data across commercial real estate properties. Aquicore’s platform centralizes critical energy data and provides intuitive and graphical interfaces to streamline management and team collaboration. It's hardware allows for cost-effective and rapid deployment across hundreds of properties in a matter of months regardless of building age, size, or BMS system. Aquicore's platform enables organizations to make timely decisions that improve staff productivity, reduce energy waste, increase tenant satisfaction and meet strategic energy goals.","Aquicore is an Energy Intelligence Solution, combining software and next-generation metering technology to cost-effectively monitor and analyze real-time energy data across commercial real estate properties.",NA,Energy,,[],,59:29.9,,http://www.aquicore.com/,2010
archimedes-inc,4300000,Archimedes Inc.,14,2,San Francisco,California,us,94105,18568,Private,Healthcare and Insurance,Software licensing,"Business to Business, Business to Government, academia",,"Archimedes is a healthcare modelling and analytics organization. With the Archimedes Model at its core, the company enables people to combine real-world healthcare data and simulation data to create compelling and actionable evidence used in individual healthcare decision-making, as well as populations, with applications in health and economic outcomes research, policy creation, and clinical trial design and operations.","Archimedes creates models using evidence from clinical trials, epidemiological studies, and other sources to show healthcare decision makers how different options affect outcomes and costs.",NA,,,[],,47:07.8,,http://archimedesmodel.com/,2006
areavibes-inc,1000000,AreaVibes Inc.,1,0.2,,New York,us,,43840,Private,Software,not reported by company,Business to Consumer,,"AreaVibe works to provide you with everything you need to know about every city in the United States. The AreaVibe algorithm assigns a total score (“AreaVibe” in our speak) based on the most important metrics for each city, including: cost of living, crime rates, education, employment, health & safety, housing, weather, transportation, local businesses and even user reviews. The higher the score, the better the city (in our opinion).",AreaVibe works to provide you with everything you need to know about every city in the United States.,NA,"Economics, Environment, Public Safety",,[],,35:56.5,,http://www.areavibes.com/,2009
arrive-labs,na,Arrive Labs,88,12,San Francisco,California,us,94110,43840,Private,E-Commerce Platforms,Not reported by company,,,"Arrive Labs builds software solutions for urban transit solutions, that currently has created two apps - Arrive and TransitHero. Arrive is a multi-modal urban transit app for San Francisco providing information across all available modalities like train, bus, taxis, SideCar, ZipCar and our friends, Scoot Networks. 

<p>TransitHero, an app for the San Francisco Bay Area, delivers live real-time transit information for BART, MUNI, and AC Transit. It combines live, crowd sourced reports from our community of users, as well as our proprietary data set to give you intelligence on public transit in the city. You can become a TransitHero by reporting anything from a delay to a crowded train, rescuing transit riders from bad transit experiences before they get stuck.</p>",Arrive Labs builds software solutions for urban transit challenges.,NA,,,[],,28:05.5,,http://home.downloadarrive.com,2011
